ProductoID;NombreProducto;PrecioUnitario;CategoriaID;ProveedorID;UnidadesEnStock;Descontinuados;;;
1;Almendras naturales;44;1;1;5;0;;;
2;Almendras tostadas;46;1;1;5;0;;;
3;Castañas de primera;48;1;1;6;0;;;
4;Cashews tostados;44;1;1;7;0;;;
5;Pistachos tostados;56;1;1;4;0;;;
6;Pecanas con cascara;34;1;1;5;0;;;
7;Pecanas peladas;74;1;1;5;0;;;
8;Pasas rubias grandes;32;2;2;8;0;;;
9;Pasas rubias pequeñas;24;2;2;10;0;;;
10;Pasas morenas importadas;17;2;2;9;0;;;
11;Pasas bebe;18;2;2;7;0;;;
12;Guindones con pepa;20;2;1;5;0;;;
13;Guindones sin pepa;24;2;1;3;0;;;
14;Avellanas tostadas;60;1;1;3;0;;;
15;Nueces peladas;46;1;1;1;0;;;
16;Nueces con cascara;22;1;1;7;0;;;
17;Maní tostado partido;14;1;1;2;0;;;
18;Maní tostado bola;17;1;1;1;0;;;
19;Habas tostadas;17;7;1;6;0;;;
20;Flor de Jamaica;22;8;2;7;0;;;
21;Semilla de calabaza tostada;60;9;2;2;0;;;
22;Semilla de calabaza natural;58;9;2;1;0;;;
23;Semilla de girasol tostada;20;9;2;4;0;;;
24;Semilla de girasol tostado;15;9;2;6;0;;;
25;Sacha inchi tostado;36;9;2;9;0;;;
26;Ajonjolí tostad imp;16;9;2;10;0;;;
27;Ajonjolí natural;13;9;2;6;0;;;
28;Ajonjolí negro;20;9;2;1;0;;;
29;Avena en hojuelas;8;10;1;9;0;;;
30;Coco rallado fino;15;3;1;6;0;;;
31;Coco rallado grueso;18;3;1;5;0;;;
32;Clavo de olor;58;4;2;1;0;;;
33;Bicarbonato;7;11;1;1;0;;;
34;Pimienta molida;22;4;2;1;0;;;
35;Pimienta entera;46;4;2;10;0;;;
36;Comino molido;15;4;2;7;0;;;
37;Comino entero;40;4;2;10;0;;;
38;Tomillo molido;15;4;1;9;0;;;
39;Semillas de linaza;12;9;1;10;0;;;
40;Semilla de chía;20;9;1;7;0;;;
41;Canela en polvo;30;4;1;7;0;;;
42;Canela entera h1;80;4;2;6;0;;;
43;Orégano;20;4;2;3;0;;;
44;Laurel;90;4;2;10;0;;;
45;Anís estrella;90;4;1;5;0;;;
46;Cúrcuma molida;15;4;1;6;0;;;
47;Palillo molido;8;4;2;9;0;;;
48;Ajo en polvo;30;4;1;2;0;;;
49;Anís en grano;26;4;1;3;0;;;
50;Ajino moto a granel;10;5;1;8;0;;;
51;Colapiz importado;50;11;1;1;0;;;
52;Levadura;18;11;1;7;0;;;
53;Orégano molido;16;4;1;1;0;;;
55;Soya entera;8;7;2;5;0;;;
56;Romero molido;16;4;2;8;0;;;
57;Quinua lavada;12;10;2;1;0;;;
58;Kiwicha;11;10;1;6;0;;;
59;Porn corn;5,5;10;1;4;0;;;
60;Sal de maras fino;10;5;1;4;0;;;
61;Panela orgánica;7;12;2;2;0;;;
62;Nuez moscada;72;4;1;10;0;;;
63;Grajeas;9;11;1;2;0;;;
64;Lluvia de colores;30;11;1;2;1;;;
65;Cebada tostada;6;10;1;5;0;;;
66;Chocolate Shilico;8;13;2;10;1;;;
67;Harina de camote;11;6;2;3;0;;;
68;Harina de coca;50;6;2;10;0;;;
69;Harina de almendras;40;6;2;10;0;;;
70;Harina de 7 semillas;7;6;2;5;0;;;
71;Harina de maca;8;6;2;8;0;;;
72;Harina de plátano;10;6;2;5;0;;;
73;Harina de cañihua;16;6;2;6;0;;;
74;Harina de kiwicha;10;6;2;8;0;;;
75;Harina de quinua;10;6;2;3;0;;;
76;Soya molida;8;6;2;2;0;;;
77;Harina integral;7;6;2;10;0;;;
78;Ponche de habas;9;6;2;1;0;;;
79;Maizena;9;6;2;6;0;;;
80;Chuño ingles;10;6;2;6;0;;;
81;Cocoa en polvo;12;13;1;8;0;;;
82;Cacao en polvo;40;13;1;8;0;;;
83;Cacao en nibs;35;13;1;10;1;;;
84;Kiwicha pop;18;10;1;8;0;;;
85;Quinua pop;18;10;1;10;0;;;
86;Huesillos;32;2;2;9;1;;;
87;Orejones;50;2;2;5;0;;;
88;Cereza deshidratada;42;2;2;4;1;;;
89;Fresa deshidratada;42;2;2;3;1;;;
90;Manzana deshidratada;54;2;2;1;1;;;
91;Kiwi deshidratado;32;2;2;2;0;;;
92;Naranja deshidratada;54;2;2;5;1;;;
93;Piña deshidratada;40;2;2;3;0;;;
94;Mango deshidratado;54;2;2;8;0;;;
95;Aguaymanto deshidratado;38;2;2;9;1;;;
96;Arándano deshidratado entero;32;2;2;1;0;;;
97;Mistura deshidratada;60;2;2;9;1;;;
98;Bayas de goji;60;2;2;8;0;;;
99;Aceite coco de 250 ml ;16;14;4;4;0;;;
100;Aceite de oliva 500 ml ;25;14;4;3;0;;;
101;Aceite de oliva 1 lt ;40;14;4;9;0;;;
102;Vinagre de manzana lt ;9,5;15;4;9;0;;;
103;Aceite de sachainchi ;20;14;4;7;1;;;
104;Aceite de ajonjoli ;20;14;4;6;1;;;
105;Algarrobina ;15;12;1;7;0;;;
106;Stevia 50 g;9;12;3;5;0;;;
107;Stevia 120 g;15;12;3;15;0;;;
108;Stevia con yacón 120 g;17;12;3;8;0;;;
109;Stevia con cuentagotas 100 ml;22;12;3;3;0;;;
110;Toffies de algarrobina ;6,5;15;4;2;1;;;
111;Toffies de natilla ;6,5;15;4;1;1;;;
112;Galletas integrales con coco 42 g;2;17;4;3;0;;;
113;Galletas integrales con naranja 42 g;2;17;4;4;0;;;
114;Galletas integrales con kiwicha 42 g;2;17;4;2;0;;;
115;Galletas integrales con coco 100 g;5;17;4;0;0;;;
116;Galletas integrales con naranja 100 g;5;17;4;0;0;;;
117;Galletas integrales con kiwicha 100 g;5;17;4;0;0;;;
